Gap Name	Opp Segment	Opportunity	Deal Motion	Product Line	Product Area	Product Capability	Severity Score	Severity	Is Industry Gap	Is International Gap	Created By	Created Date	CI Notes Header	ACV Bin	Opportunity Stage 	Brainstorm	CI Notes	Opp Close Date	Functionality Requirement	Headliner Feature	Gap ID	Industry Specific Gap Detail	Available Capability	Pain point(s)	Proposed Solution	Country Specific Gap Detail	Opp Pipeline Stage	Gap Summary	Type of Gap	Gap Status	Opp ID	Acct Super Industry	# Gaps
PG-00010941	North America	Sixth Street Partners, LLC- ACC, Prism, Extend Pro, Rec, CE, SSR (DNQ:1.54x, 20 mons to renewal)	Core Customer - Expand with Core	Talent Management	Talent Acquisition	Screening and Assessments	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Matt Jeffers	11/21/2025	CI Notes	ACV 300(K) to 500(K)	Won		Greenhouse can support this use case	15/12/2025	PE firm sends use cases to prospective candidates on Friday night at 8pm for completion over the weekend. Customer can currently schedule the assessment timing.	Ability to schedule Assessments	aTEVT0000002enl4AA	 		With Workday REC, you would have to manually move to the Assessment stage and select the assessment to send out at 8pm, in this example.	Customer owns Extend and partner is looking into an Extend solution.		9- Closed/Won		Business Process	Open	006VT00000fAGleYAG	Financial Services	1
PG-00010921	North America	Meridian CC - PKG - Platform + Student	Prospect - Land with Core	Talent Management	Talent Acquisition	Candidate Job Application Flow;Career Sites;Job Application Process	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Jasmine Omorogbe	11/21/2025	No CI Notes	ACV 300(K) to 500(K)	Open			21/08/2026	Meridian would like the candidate to be able to negotiate their salary through the external site, potentially able to go back and forth with the hiring manager or HR team as appropriate, without necessarily having to start the conversation verbally.	Negotiate through External Career Site	aTEVT0000002eHV4AY	 		It could expedite the process if candidates were able to negotiate and also eliminate the psychological barrier of having the conversation.			4- Pre-Close			Open	006VT00000PpmgwYAB	Education	1
PG-00010909	North America	Oakland County - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition		3	Risk of Deal Loss (3)	Yes	No	Katie Forsman	11/21/2025	No CI Notes	ACV 0(K) to 300(K)	Won			31/07/2025	"CoE functionality in the release notes indicates: We add these 2 new security segments to the Workday delivered Job Application Security Segment to ensure hiring managers can only view and take action on applications from the candidate grid that have been part of issued certificates: Active Certificate of Eligibles, All Certificate of Eligibles

The allowed domains tied to CoE don't allow segmented security."	Certificate of Eligibles - Segmented Security	aTEVT0000002dy94AA	State & Local Government	Representative Capability is not in list	Hiring Managers should only be able to see candidates on the CoE. This creates a 2-step process. Recruiters need to add the candidates to the CoE and add them to a specific stage of the job app BP that allows Hiring Managers to view and take action. Security has to be managed by not allowing the hiring manager to view certain stages of the recruitment. Depending on the needs, this limits how the system can be configured.	Work around as described above.		9- Closed/Won	"https://doc.workday.com/release-notes/en-us/hrrec/8680930.html?lang=en-us#Impact-tab

Discovered by Workday Services during implementation."	Security	Open	006VT00000Sk29xYAB	Public Sector	1
PG-00010906	North America	Oakland County - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Job Application Process;Job Requisitions	3	Risk of Deal Loss (3)	Yes	No	Katie Forsman	11/21/2025	CI Notes	ACV 0(K) to 300(K)	Won		Can be done by NEOGOV	31/07/2025	Ability to have the candidate expire off the list after a set period of time (e.g. 6 months from being added to list). Directly related to needing the CoE to be dynamic. Candidates need to be continuously added as they apply and are determined eligible. Also need to be able to have candidates removed from the list once they expire.	"Certificate of Eligibles: Candidate expiration setting, ""Rolling Eligibility"""	aTEVT0000002dtJ4AQ	State & Local Government		This is a requirement according to their civil service rules. Their ATS must be able to handle this.	"Workaround by only adding candidates to the CoE when needed/requested by the hiring manager. Place the candidates at a step of the recruiting process called ""eligible"" when the recruiter screens and determines them to be eligible. Need to create a CF to project out the expiration off the ""list"" - then reporting to alert the recruiter to review and manually disposition the candidate."		9- Closed/Won	The requirement was uncovered during implementation with Workday Services.	Feature	Open	006VT00000Sk29xYAB	Public Sector	1
PG-00010887	North America	Ingredion - HiredScore	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition	Job Requisitions	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Jeff Jones	11/20/2025	No CI Notes	ACV 0(K) to 300(K)	Open			22/01/2027	Improve Job Requisition generation with more advanced AI	Improve AI Job Requisition creation with Industry specific external content	aTEVT0000002dOf4AI	 		Making Job Requisitions more industry specific and job/role specific	When training the AI for Job Requisitions, train AI on more industry specific terms (in their case - Food Manufacturing)		4- Pre-Close		Artificial Intelligence (AI)	Open	006VT00000RAkObYAL	Manufacturing	1
PG-00010875	North America	Walmart - AITM & PDX (sub-pop)	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition	Candidates and Prospects;Job Application Process	4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Kate Marchant	11/20/2025	CI Notes	ACV 500(K) to 5000(K)	Won		Competitors have this	02/12/2025	Walmart would like to have Workday's support with fraudulent candidate detection to reduce the number of fraudulent bots and resumes they receive.	Fraudulent Candidate Detection	aTEVT0000002d5J4AQ	 		Receive a massive number of fraudulent candidates			9- Closed/Won		Artificial Intelligence (AI)	Open	006VT00000SKVFfYAP	Retail	1
PG-00010874	North America	Quantcast- REC	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Interviews	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Jack Zeifang	11/20/2025	No CI Notes	ACV 0(K) to 300(K)	Do Nothing			17/04/2026	Huge need from prospect for candidates to self-schedule their own phone screens/interviews. Recruiting talent from India and having to work on India hours while prospect is based in San Francisco is causing challenges for recruiters to navigate calendars internally and externally with candidates.	More Robust Candidate Self-Scheduling Functionality	aTEVT0000002d3h4AA	 		Costly work around with partner, Lack of automation/ease of use for recruiters, candidates.			31- Closed/Lost to Do Nothing		Feature	Open	006VT00000dogwrYAA	Technology & Media	1
PG-00010872	North America	Crowe - HS, CE, CEXP	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition	Candidates and Prospects;Job Application Process	3	Risk of Deal Loss (3)	No	No	Kate Marchant	11/20/2025	CI Notes	ACV 0(K) to 300(K)	Won		"Phenom has a capability ""Fraud Detection Agent"" that Crowe is evaluating."	30/01/2026	Crowe needs to be able detect fraudulent candidates / resumes.	Fraud Detection Agent - Fraudulent Candidate Detection	aTEVT0000002d0T4AQ	 		Getting a massive number of fraudulent candidates applying to their reqs.			9- Closed/Won		Artificial Intelligence (AI)	Open	006VT00000QpmhxYAB	Professional & Business Services	1
PG-00010865	EMEA	DATEV - Upgrade Extend PRO	Core Customer - Expand with Other	Talent Management	Talent Acquisition		4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Victoria Klein	11/20/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/06/2026	Want onboarding tasks to be able to begin right within preboarding within candidate home. do not want to go through creating prehire.	Want tasks within Preboarding in candidate home	aTEVT0000002cpB4AQ	 		longer time to onboard new hires, compliance risk			4- Pre-Close		Feature	Open	006VT00000LtaV1YAJ	Technology & Media	1
PG-00010864	EMEA	Hitachi Rail GTS France SAS-FY26-Q4-ARO-LE SKUs-Expansion (Addtl EEs)	Core - Subscription Uplift	Talent Management	Talent Acquisition		4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Victoria Klein	11/20/2025	No CI Notes	ACV 0(K) to 300(K)	Won			31/01/2026	Need to delay disposition email but logic doesn't exist to send email at a location appropriate time. Ex recruiter in Germany send rejection to candidate in Australia, that candidate receives email at an inapropriate time.	Want to delay disposition email	aTEVT0000002cnZ4AQ	 		manual workarounds, unhappy employees			9- Closed/Won		Feature	Open	006VT00000O7TSsYAN	Manufacturing	1
PG-00010863	EMEA	Melitta - SC, LO (Add-On)	Core Customer - Expand with Other	Talent Management	Talent Acquisition		4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Victoria Klein	11/20/2025	No CI Notes	ACV 0(K) to 300(K)	Do Nothing			31/07/2026	Want to be able to hire from evergreen req instead of having to open req then transfer candidate in.	Hire from Evergreen Requisition	aTEVT0000002clx4AA	 		Commonly done so lots of time and manual effort.			31- Closed/Lost to Do Nothing		Feature	Open	006VT00000XvBlKYAV	Manufacturing	1
PG-00010862	North America	VF Services, SSR_JOUR, CEXP, AIRC (DNQ:1.33x, 25 mons to renewal)	Core Customer - Expand with Core	Talent Management	Talent Acquisition	Candidates and Prospects;Job Application Process;Job Postings	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 500(K) to 5000(K)	Do Nothing			31/07/2026	Want easier way to manage candidates who forgot username or password, password resets, and email validations	Difficulty with requiring email address logins for candidates and having to reset passwords and do email validation	aTEVT0000002ckL4AQ	 		Difficulty with requiring email address logins for candidates and having to reset passwords			31- Closed/Lost to Do Nothing		Feature	Open	0064X00002Ufa19QAB	Retail	1
PG-00010861	North America	ResMed -AIRC, AITM, CEXP	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Interviews	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 500(K) to 5000(K)	Open			08/01/2027	Ability for Google Copilot to remind & complete interview feedback for interviewers	Ability for Google Copilot to remind & complete interview feedback for interviewers	aTEVT0000002cij4AA	 		Ability for Google Copilot to remind & complete interview feedback for interviewers			4- Pre-Close		Feature	Open	0064X00002Ufe9HQAR	Manufacturing	1
PG-00010860	North America	ResMed -AIRC, AITM, CEXP	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Interviews	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 500(K) to 5000(K)	Open			08/01/2027	Ability to create interview guides	Ability to create interview guides	aTEVT0000002ch74AA	 		Ability to create interview guides			4- Pre-Close		Feature	Open	0064X00002Ufe9HQAR	Manufacturing	1
PG-00010859	North America	DocuSign - Add Ons to renewal	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Candidate Job Application Flow;Job Application Process	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 300(K) to 500(K)	Lost			05/03/2026	Ability to see what step a candidate is at in their job application in real time	Ability to see what step a candidate is at in their job application in real time	aTEVT0000002cfV4AQ	 		Ability to see what step a candidate is at in their job application in real time			30- Closed/Lost to Competition		Feature	Open	006VT00000RidpKYAR	Technology & Media	1
PG-00010858	North America	DocuSign - Add Ons to renewal	Core Customer - Expand with Other	Talent Management	Talent Acquisition		4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 300(K) to 500(K)	Lost			05/03/2026	A connector to Google sheets to automatically update reports in the ATS to an existing Google Sheet	Google Sheets connector	aTEVT0000002cUE4AY	 		A connector to Google sheets to automatically update reports in the ATS to an existing Google Sheet			30- Closed/Lost to Competition		Feature	Open	006VT00000RidpKYAR	Technology & Media	1
PG-00010857	North America	DocuSign - Add Ons to renewal	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Communications and Notifications	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 300(K) to 500(K)	Lost			05/03/2026	A queue to cancel disposition communications before being sent out rather than having to manually rescind/change status of disposition	A queue to cancel disposition communications rather than having to manually rescind/change status of disposition	aTEVT0000002cdt4AA	 		A queue to cancel disposition communications before being sent out rather than having to manually rescind/change status of disposition			30- Closed/Lost to Competition		Feature	Open	006VT00000RidpKYAR	Technology & Media	1
PG-00010855	North America	DocuSign - Add Ons to renewal	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Communications and Notifications	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 300(K) to 500(K)	Lost			05/03/2026	Two way email communication with candidates	Two way email communication with candidates	aTEVT0000002caf4AA	 	Representative Capability is not in list	Two way email communication with candidates	On roadmap		30- Closed/Lost to Competition		Feature	Open	006VT00000RidpKYAR	Technology & Media	1
PG-00010854	North America	DocuSign - Add Ons to renewal	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Communications and Notifications	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 300(K) to 500(K)	Lost			05/03/2026	A library of email templates and interview guides	A library of email templates and interview guides	aTEVT0000002cZ34AI	 	Representative Capability is not in list	A library of email templates and interview guides			30- Closed/Lost to Competition		Feature	Open	006VT00000RidpKYAR	Technology & Media	1
PG-00010853	North America	DocuSign - Add Ons to renewal	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Candidate Job Application Flow;Candidates and Prospects	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 300(K) to 500(K)	Lost			05/03/2026	External candidate experience surveys (not Peakon) like Indeed's functionality	External candidate experience surveys (not Peakon)	aTEVT0000002cXR4AY	 	Representative Capability is not in list	External candidate experience surveys (not Peakon) like Indeed's functionality	Extend or third party?		30- Closed/Lost to Competition		Feature	Open	006VT00000RidpKYAR	Technology & Media	1
PG-00010852	North America	DocuSign - Add Ons to renewal	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Interviews	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	11/19/2025	No CI Notes	ACV 300(K) to 500(K)	Lost			05/03/2026	Ability for anonymous feedback from interview panel	Ability for anonymous feedback from interview panel	aTEVT0000002cVp4AI	 		Ability for anonymous feedback from interview panel	Extend or third party?		30- Closed/Lost to Competition		Feature	Open	006VT00000RidpKYAR	Technology & Media	1
PG-00010829	EMEA	Rituals Hiredscore	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition		4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Victoria Klein	11/19/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/11/2026	No way to require this or push out simple task	Can't send task to new hire to have them submit address or additional government IDs.	aTEVT0000002buj4AA	 		Manual, does not encourage people to complete tasks. Delays onboarding etc.			1- Qualify		Feature	Open	006VT00000gZopmYAC	Retail	1
PG-00010777	North America	County of Stanislaus - HCM	Prospect - Land with Core	Talent Management	Talent Acquisition	Candidate Job Application Flow;Job Application Process;Job Requisitions	4	Requires a 3rd Party Partner or Custom Solution (4)	Yes	Yes	Katie Forsman	11/16/2025	No CI Notes	ACV 500(K) to 5000(K)	Open			19/11/2027	"More complex needs for eligible lists that would not be met with the current ""Certificate of Eligibles"" functionality. Including the ability to have rolling eligibility lists (candidates added/removed without the return of the whole certificate)"	Civil Service Recruiting - Eligibility Lists	aTEVT0000002aYr4AI	State & Local Government		Ability to meet their civil service recruiting requirements	Keep current system or build out a solution in Extend potentially		2- Discover		Feature	Open	006VT00000KuwsDYAR	Public Sector	1
PG-00010768	North America	State Farm - REC, AIRC, AITM, CE, MSG, CExp	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition	Candidates and Prospects	3	Risk of Deal Loss (3)	No	No	Matt Jeffers	11/14/2025	CI Notes	ACV 500(K) to 5000(K)	Lost		This feature appears to be a feature that iCIMS supports, which is State Farm's current ATS.	17/07/2026	State Farm wants to track who initiated contact through by automatically tagging a prospect to indicate that the sourcer was the source of initial interaction. Today this is done via text messaging tool in iCIMS.	Auto-Tagging Sourcers to Prospects	aTEVT0000002aKL4AY	 		Inability to track the Sourcer who initiated contact with a prospect and track that prospect all the way to Offer. This gives insight into Sourcer effectiveness, for example.			30- Closed/Lost to Competition		Feature	Open	006VT00000Y2ZJ3YAN	Financial Services	1
PG-00010767	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	They want candidates to be able to go back to their account and be able to upload their resume after they already applied for the posting.	Candidates upload a resume after they have applied	aTEVT0000002aIj4AI	Public Sector		If a candidate forgets, or makes updates to a resume or other information, they need to contact HR to do the upload. A task could be generated to request the documents but requires manual review and intervention. They want candidates to be able to just do this themselves.			1- Qualify	Candidates upload a resume after they have applied	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010765	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	No	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	Need the ability to set a candidate reapply period for specific timeframes. The only option currently is to turn this feature on or off but not set a specific timeframe (e.g. 30, 60, 90 days, etc.). There are on/off settings separately for Evergreen reqs vs. regular reqs. They are used to a system (NEOGOV) where they can set the reapply period as a master switch setting or even enter it individually on each job posting.	Set Candidate Reapply Period for Specific Timeframes	aTEVT0000002aFV4AY	Public Sector		Without this feature, they will have to make a decision if this setting will be on or off in WD and they will have manual work with either setting. If they allow candidates to reapply, they could receive an application every day from the same candidate, if they do not allow reapply, they will need to setup a process for candidates to contact HR if they need to update their application details after a period of time (e.g. candidate has new education to add to their already submitted application).			1- Qualify	Set Candidate Reapply Period for Specific Timeframes	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010764	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	No	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	They want the flexibility to be able to change candidate stages/steps in the grid after the job is posted. This was an issue the first time they saw REC demo.	Candidate Step/Stages Flexibility	aTEVT0000002aDt4AI	Public Sector		It doesn't provide flexibility in the screening process.			1- Qualify	Candidate Step/Stages Flexibility	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010761	North America	State Farm - REC, AIRC, AITM, CE, MSG, CExp	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition	Candidates and Prospects	3	Risk of Deal Loss (3)	No	No	Jason Beck	11/14/2025	No CI Notes	ACV 500(K) to 5000(K)	Lost			17/07/2026	"State Farm is asking about the ability to do the following: ""What functionality does the candidate location search feature offer within the platform? Specifically, can users perform searches by a specific state, by a city and state combination, or by zip code? Is it possible to search for multiple locations simultaneously, such as entering several zip codes or states? If so, will they all have the same radius attached or can they be assigned individually? Additionally, are there pre-designated radii available for conducting location searches?""

While yes, you can use the search bar to search multiple states or cities, the zip code facet within the report is for a single zip code at once. State Farm is looking for the capability to search multiple zip codes, states, and cities at the same time, and apply a radius to the search."	Search multiple zip codes from the Find Candidates Report	aTEVT0000002a934AA	 		Requires multiple searches and aggregating the search through pools. Multiple steps.			30- Closed/Lost to Competition		Feature	Open	006VT00000Y2ZJ3YAN	Financial Services	1
PG-00010760	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	Need the ability to Filter the list on the fly and then refer a subset from the established list (e.g. Spanish speaking, location preference, etc.) based on answers to SQs and/or application fields (these questions/application fields wouldn’t be columns b/c there would be too many)	Eligible Lists - Filtering	aTEVT0000002a7R4AQ	Public Sector		This prevents customers from being able to manage lists in the manner they need to comply with their laws.			1- Qualify	Eligible Lists - Filtering	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010759	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	Candidates often need to be ranked and then re-ranked per stage or step of the process. Workday’s ranking feature doesn’t allow this.	Eligible Lists - Ranking	aTEVT0000002a5p4AA	Public Sector		This prevents customers from being able to manage lists in the manner they need to comply with their laws.			1- Qualify	Eligible Lists - Ranking	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010758	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	If a candidate is hired as part time for example they should have the ability to keep them active on the eligible list to be considered for other openings, or if they were hired but also qualified for other positions they should remain active on the eligible list until their expiration	Eligible Lists - Keep Active on List even if hired	aTEVT0000002a4D4AQ	Public Sector		This prevents customers from being able to manage lists in the manner they need to comply with their laws.			1- Qualify	Eligible Lists - Keep Active on List even if hired	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010757	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	Need to be able to use the same Eligibility List to refer the candidates to other requisitions, while maintaining their original application date (not a copy or move date).	Eligible Lists - Multiple Referrals	aTEVT0000002a2b4AA	Public Sector		This prevents customers from being able to manage lists in the manner they need to comply with their laws.			1- Qualify	Eligible Lists - Multiple Referrals	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010756	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	No ability to track waivers. After a candidate declines an interview 3 times (e.g. waives) then they need to be inactivated on the list.	Eligible Lists - Waivers	aTEVT0000002a0z4AA	Public Sector		This prevents customers from being able to track waivers in the manner they need to comply with their laws.			1- Qualify	Eligible Lists - Waivers	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010755	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	Many customers need the eligible list to be created first and then Vet points applied. Certificate of eligibles requires Vets Points to be added before the Eligible List is created.	Eligible Lists - Veteran's Preference	aTEVT0000002ZzN4AU	Public Sector		This prevents customers from being able to add points in the manner they need to comply with their laws.			1- Qualify	Eligible Lists - Veteran's Preference	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010754	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	There’s no ability to extend the expiration date of the actual list before it expires	Eligible Lists - Extension of Expiration	aTEVT0000002Zxl4AE	Public Sector		This prevents customers from being able to manage list and comply with their laws.			1- Qualify	Eligible Lists - Extension of Expiration	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010753	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	There’s no ability for List management because you cannot extend the expiration date of individual candidates at all, only the entire list can expire on a specific date.	Eligible Lists - Expiration	aTEVT0000002Zw94AE	Public Sector		This prevents customers from being able to manage continuous recruitments.			1- Qualify	Eligible Lists - Expiration	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010752	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	There’s no ability to create multiple eligible list types (open, promotional, inter-agency transfer, intra-agency transfer, reinstatement, etc.)	Eligible Lists - Create multiple eligible list types from a recruitment	aTEVT0000002ZuX4AU	Public Sector		They need to be able to create multiple eligible lists from the same recruitment			1- Qualify	Eligible Lists - Create multiple eligible list types from a recruitment	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010751	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	3	Risk of Deal Loss (3)	Yes	No	Joanne Hilty	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	They need the ability to add/remove candidates from list on a regular ongoing basis. Candidates placed on a list a different times, each need their fair time (e.g. 180 days) on the list and then they expire if not extended.	Eligible Lists - Rolling List Management	aTEVT0000002Zsv4AE	Public Sector		Certificate of Eligibles are set in stone once the list is created, no new candidates can be added (e.g. rolling EL) to it until all candidates are dispositioned.			1- Qualify	Eligible Lists - Rolling List Management	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00010749	North America	Brown and Brown - Growth, WSP+,VNDLY,Sana_Consolidation	Core Customer - Expand with Core	Talent Management	Talent Acquisition	Job Application Process	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Blake Nichols	11/14/2025	No CI Notes	ACV 0(K) to 300(K)	Open			13/08/2026	Customer would like a way to determine if a resume has been written by AI.	Determine if a resume has been written by AI	aTEVT0000002Zph4AE	 		AI applications are hard to determine without manual intervention			4- Pre-Close		Artificial Intelligence (AI)	Open	006VT00000ZobD8YAJ	Financial Services	1
PG-00010716	North America	Seismic Software - LDP HCM, USP, GPC, ADV COMP, BEN, CCBEN, TT, ABS, REC, TLNT, Peakon	Non-Core Customer - Expand with Core	Talent Management	Talent Acquisition		5	Tolerable, but Requires Some Manual Effort (5)	No	No	Ryan Pollock	11/13/2025	No CI Notes	ACV 0(K) to 300(K)	Open			25/09/2026	"Seismic's TA team felt as if the recruiter experience was too ""click heavy""."	"""Too Click Heavy"""	aTEVT0000002YyT4AU	 		Too many clicks to get into requisitions and resumes etc...			3- Engage		Feature	Open	006VT00000Qd29RYAR	Technology & Media	1
PG-00010703	North America	County of Denton-FY36	Core - Renewal Uplift	Talent Management	Talent Acquisition	Browse Jobs;Career Sites;Job Application Process;Job Postings	3	Risk of Removal of SKU from Deal (3)	Yes	Yes	Joanne Hilty	11/13/2025	CI Notes	ACV 500(K) to 5000(K)	Open		NeoGov has governmentjobs.com which is a central career site where all government jobs, from all their customers, display for candidate to search and apply. Candidates do not have to go to each employer's website to search for jobs. This website is a significant advantage for NeoGov and WD prospects/customers are concerned about the decline in the number of candidates without a site like this.	12/06/2035	Workday needs a centralized career site for candidates who are looking for Government jobs to view all the jobs in one place.	Governmentjobs.com Career Site	aTEVT0000002YdV4AU	Workday doesn't have a centralized career site for candidates who are looking for Government jobs to view all the jobs in one place. Candidates must go to each individual employer page.		Candidates must go to every employer's individual websites to look for government jobs. Employers run the risk of losing candidates because of the limited exposure of their postings.	Customers can purchase a job posting subscription for governmentjobs.com to advertise their jobs but when applying the application wouldn't go to WD (unless they pay to keep their subscription to neogov which is costly to pay for two systems and do a redirect of sorts on the URL).		0- Upcoming	This is a request being asked by each prospect who has governmentjobs.com advertising currently.	Feature	Open	0064X00002SG3ZtQAL	Public Sector	1
